Distance Sea Floor [m]	Height DOM [m]	Arrival Time [s]	Angle of Departure [degrees]	Angle of Arrival [degrees]
1450.0	400.0	0.991957307	-14.791503	-15.6806059
1450.0	500.0	1.01186395	-18.3886395	-19.2950325
1450.0	600.0	1.03566575	-21.8408222	-22.7493095
1450.0	700.0	1.0631007	-25.1336498	-26.0482864
1450.0	800.0	1.09390163	-28.2574539	-29.1649075
1450.0	900.0	1.12781668	-31.2062397	-32.1172791
1450.0	1000.0	1.16458011	-33.9796829	-34.8788567
1500.0	3.0	0.988319755	0.442431837	-0.215537801
1500.0	100.0	0.990654588	-3.22913074	-3.97278881
1500.0	200.0	0.997423768	-6.98643303	-7.80106258
1500.0	300.0	1.00853419	-10.6839199	-11.5516033
1500.0	400.0	1.02384746	-14.2928658	-15.196085
1500.0	500.0	1.04318154	-17.7888699	-18.7111111
1500.0	600.0	1.06631994	-21.1525364	-22.0787773
1500.0	700.0	1.09301901	-24.3700485	-25.3161812
1500.0	800.0	1.12303233	-27.4312973	-28.3700676
1500.0	900.0	1.15612483	-30.3297272	-31.2720985
1500.0	1000.0	1.19204605	-33.0639267	-33.9932442
1550.0	3.0	1.02126324	0.449675679	-0.219122291
1550.0	100.0	1.02354896	-3.1017952	-3.85645103
1550.0	200.0	1.03013265	-6.73834562	-7.56456089
1550.0	300.0	1.04092753	-10.3210297	-11.2013092
1550.0	400.0	1.05580616	-13.8235302	-14.7407331
1550.0	500.0	1.07460141	-17.2232533	-18.1611557
1550.0	600.0	1.09710979	-20.5024223	-21.4918613
1550.0	700.0	1.12311399	-23.6464806	-24.6240654
1550.0	800.0	1.15237665	-26.646328	-27.6163692
1550.0	900.0	1.18468165	-29.494545	-30.468256
1550.0	1000.0	1.21979296	-32.1889114	-33.1483612
1600.0	3.0	1.05420673	0.457140744	-0.222467214
1600.0	100.0	1.05644727	-2.98166323	-3.74729204
1600.0	200.0	1.06285775	-6.5047617	-7.34251642
1600.0	300.0	1.07335711	-9.97925377	-10.8720474
1600.0	400.0	1.08782554	-13.3814106	-14.3076286
1600.0	500.0	1.10611188	-16.6894932	-17.692627
1600.0	600.0	1.12803054	-19.8866405	-20.8937073
1600.0	700.0	1.15337157	-22.95998	-23.9690189
1600.0	800.0	1.1819185	-25.8997078	-26.9010143
1600.0	900.0	1.21346915	-28.6980934	-29.7031555
1600.0	1000.0	1.24780166	-31.3522816	-32.3418617
1650.0	3.0	1.0871501	0.464481771	-0.25865531
1650.0	100.0	1.08934855	-2.86848545	-3.68602824
1650.0	200.0	1.09559655	-6.28484249	-7.18105793
1650.0	300.0	1.10581791	-9.65723419	-10.6128922
1650.0	400.0	1.1199038	-12.9634466	-13.9596405
1650.0	500.0	1.13771117	-16.1840611	-17.2027569
1650.0	600.0	1.15906858	-19.3029556	-20.3274593
1650.0	700.0	1.18377912	-22.307869	-23.3483791
1650.0	800.0	1.21164334	-25.1888504	-26.2214317
1650.0	900.0	1.24247169	-27.9379616	-28.9743862
1650.0	1000.0	1.27605557	-30.5518951	-31.5715542
1700.0	3.0	1.12009346	0.472329199	-0.261577249
1700.0	100.0	1.12225342	-2.76086473	-3.58933783
1700.0	200.0	1.12835002	-6.07650757	-6.98421192
1700.0	300.0	1.13831079	-9.35235214	-10.3204641
1700.0	400.0	1.152035	-12.5679274	-13.5779028
1700.0	500.0	1.16938949	-15.7051868	-16.7392902
1700.0	600.0	1.19021106	-18.7494431	-19.8373108
1700.0	700.0	1.21432543	-21.6877289	-22.7597103
1700.0	800.0	1.24153781	-24.5113792	-25.5752525
1700.0	900.0	1.27167428	-27.2119122	-28.279707
1700.0	1000.0	1.30453861	-29.7856579	-30.835371
1750.0	3.0	1.15303683	0.480340838	-0.264314711
1750.0	100.0	1.15516114	-2.65871382	-3.4980917
1750.0	200.0	1.16111588	-5.87922573	-6.79837799
1750.0	300.0	1.17083132	-9.06366539	-10.044158
1750.0	400.0	1.18421268	-12.193449	-13.2130919
1750.0	500.0	1.2011373	-15.2513332	-16.3507671
1750.0	600.0	1.22145712	-18.2230206	-19.3282185
1750.0	700.0	1.24500084	-21.0973721	-22.2007961
1750.0	800.0	1.27159047	-23.8651485	-24.960289
1750.0	900.0	1.30106378	-26.5179024	-27.617033
1750.0	1000.0	1.33323574	-29.0516109	-30.1313744
1800.0	3.0	1.18598008	0.48817876	-0.299946934
1800.0	100.0	1.18807113	-2.5619812	-3.45321703
1800.0	200.0	1.19389176	-5.69254637	-6.67012024
1800.0	300.0	1.20337558	-8.79035664	-9.83370876
1800.0	400.0	1.21643555	-11.8379335	-12.9267578
