Travel Distance [m]	Absolute Travel Distance [m]
808.0019475829413	800.0
813.9158432671911	805.8591688378311
813.9127791119537	805.8591688378311
832.1504882917135	823.8986588167261
832.1441282156744	823.8986588167261
861.7565516737238	853.3516274080691
861.7466835023074	853.3516274080691
895.2921091418184	893.0895811731318
895.347551954958	893.0895811731318
951.262097474418	941.8115522757194
951.2437402080769	941.8115522757194
1008.2412111140808	998.2028851891783
1008.217839477321	998.2028851891783
1071.7055537970034	1061.0414695006034
1071.6765516042383	1061.0414695006034
909.0025644725429	900.0
909.0025716326269	900.0
914.2430182183466	905.2121298347697
914.2399649482124	905.2121298347697
930.529292783927	921.3083088738535
930.5229805955603	921.3083088738535
957.0726403484146	947.7388880910185
957.0629147135645	947.7388880910185
986.0483925818935	983.6711848986937
986.1169267897035	983.6711848986937
1038.433438242035	1028.1094299732883
1038.4156252240737	1028.1094299732883
1090.8620520779573	1080.0041666586292
1090.8395755213464	1080.0041666586292
1149.7785740807062	1138.33606637056
1149.7509169217465	1138.33606637056
1010.0033496144381	1000.0
1010.0033651507426	1000.0
1014.6940873444212	1004.6934855964778
1014.6910467528337	1004.6934855964778
1029.4113273191845	1019.2197996506936
1029.4050546049905	1019.2197996506936
1053.4439075347987	1043.1725648232893
1053.4342913648215	1043.1725648232893
1078.5744548941498	1075.9223949709385
1078.6575407059381	1075.9223949709385
1127.915392740182	1116.695571765197
1127.8979794564934	1116.695571765197
1176.3544202054832	1164.6497327522984
1176.3326067524422	1164.6497327522984
1231.1929833190943	1218.9376522201617
1231.1663299503582	1218.9376522201617
1111.0059747416149	1100.0
1111.0059733339046	1100.0
1115.3224380436263	1104.268536181304
1115.3193813544563	1104.268536181304
1128.6614885642255	1117.5012304243785
1128.655251129759	1117.5012304243785
1150.8132242821007	1139.389748944583
1150.8035749340663	1139.389748944583
1172.2934928041573	1169.4481604585985
1172.3925444389542	1169.4481604585985
1219.1870839080318	1207.0662782134211
1219.1699735599425	1207.0662782134211
1264.1454905369665	1251.5626232833897
1264.1241804851543	1251.5626232833897
1315.3348874345402	1302.2323141436784
1315.3090013407675	1302.2323141436784
1212.0073343433949	1200.0
1212.007337311186	1200.0
1215.9533331254695	1203.9140334758126
1215.9502832195972	1203.9140334758126
1228.1988544634435	1216.062909556903
1228.1926487119358	1216.062909556903
1248.6023830939318	1236.2075068531174
1248.59279561423	1236.2075068531174
1267.0127108160596	1263.9655849745277
1267.129134711944	1263.9655849745277
1311.8933537573512	1298.8491059395622
1311.876476964734	1298.8491059395622
1353.7626016103454	1340.3018316782232
1353.7416843303445	1340.3018316782232
1401.6802345354322	1387.7352052895394
1401.654950011442	1387.7352052895394
1313.0086897715398	1300.0
1313.0087006248211	1300.0
1316.6358426265033	1303.6138231853788
1316.6328011615674	1303.6138231853788
1327.9546015884077	1314.8418155808706
1327.9484266241907	1314.8418155808706
1346.8567419820192	1333.4950318617614
1346.847207584743	1333.4950318617614
1362.4788774755893	1359.2678176135857
1362.6140458759503	1359.2678176135857
1405.7362103213056	1391.7647071254537
1405.7195184284012	1391.7647071254537
1444.8944416055617	1430.527525075977
1444.8738344517935	1430.527525075977
1489.8802923823432	1475.06237156264
1489.8554856091678	1475.06237156264
1414.0127546826932	1400.0
1414.0127228376284	1400.0
1417.4119237841378	1403.3563339366092
1417.408869348147	1403.3563339366092
1427.880474601655	1413.7924175776302
1427.8743305024739	1413.7924175776302
1445.4972318611976	1431.156525331873
1445.4877423840944	1431.156525331873
1458.6920030121623	1455.200673446793
1458.8472968738336	1455.200673446793
1500.5208889858989	1485.6005519654332
1500.5043443085005	1485.6005519654332
1537.267502843406	1521.9753611671906
1537.2471447188345	1521.9753611671906
1579.626412666332	1563.9082453903745
1579.6019908931776	1563.9082453903745
1518.182191815313	1503.133061308945
1518.1791415525238	1503.133061308945
1519.8564865237327	1512.881026386411
1520.0509966372733	1512.881026386411
1544.4319850395843	1529.1203353562466
1544.422537417394	1529.1203353562466
1555.2670466451036	1551.647189279831
1555.443754738542	1551.647189279831
1596.0651142961146	1580.192709766755
1596.0486898383865	1580.192709766755
1630.6539076621411	1614.4376729994874
1630.6337539072385	1614.4376729994874
1670.6530205311076	1654.02811342492
1670.628914568845	1654.02811342492
