Neutrino Depth [m]	Neutrino Min Angle [degrees]	Neutrino Max Angle [degrees]	Hydrophone Depth [m]	Hydrophone Distance [m]	Time of Arrival [s]	Signal Amplitude	Angle of Departure [degrees]	Angle of Arrival [degrees]	Surface Bounces	Bottom Bounces
2300.0	-89.0	-80.0	1700.0	50.0	0.391884655	(0.00045062298657224623-0.00040424990483021664j)	-85.2073593	-85.2373276	0	0
2300.0	-89.0	-80.0	1800.0	50.0	0.326890975	(-0.00020919606478089143-0.0013552354260263461j)	-84.2742462	-84.299408	0	0
2300.0	-89.0	-80.0	1800.0	50.0	0.326889038	(3.586059752962039e-06-2.3550450874488915e-05j)	-84.2441483	-84.2693558	0	0
2300.0	-89.0	-80.0	1900.0	50.0	0.262096047	(-0.001506911612425094-0.0010779280514182472j)	-82.8595352	-82.8870468	0	0
2300.0	-89.0	-80.0	1900.0	50.0	0.262095392	(-1.00834186871437e-05-8.912274281069798e-06j)	-82.8294296	-82.8569946	0	0
2300.0	-89.0	-80.0	2000.0	50.0	0.1976358	(0.0020968254036773564+0.0016264645038939372j)	-80.5220184	-80.5514526	0	0
700.0	-89.0	-80.0	1400.0	100.0	2.78769898	(2.123146493748557e-07+1.63630049847851e-08j)	-88.675354	-88.6658325	1	1
700.0	-89.0	-80.0	1400.0	100.0	2.78767824	(-1.0439371725923183e-06-2.041878037273293e-07j)	-88.6573181	-88.6472549	1	1
700.0	-89.0	-80.0	1400.0	100.0	1.38807416	(-1.0745574157006825e-05-1.403431074501957e-05j)	-87.2865753	87.2689896	1	0
700.0	-89.0	-80.0	1400.0	100.0	1.38808155	(-8.833055458322471e-05+2.1941423782415144e-05j)	-87.2685394	87.25103	1	0
700.0	-89.0	-80.0	1500.0	100.0	2.72221231	(2.2732384429339286e-07+4.752469638351924e-07j)	-88.6392822	-88.6286697	1	1
700.0	-89.0	-80.0	1500.0	100.0	2.72220659	(-3.835185492022315e-07+7.892344203309234e-07j)	-88.6212387	-88.608078	1	1
700.0	-89.0	-80.0	1500.0	100.0	1.45349193	(2.4073161958375536e-06+7.695874102742407e-06j)	-87.4128265	87.3912506	1	0
700.0	-89.0	-80.0	1500.0	100.0	1.45349228	(3.105224850172908e-05+8.296471456154149e-05j)	-87.3947906	87.3732834	1	0
700.0	-89.0	-80.0	1600.0	100.0	2.65686131	(7.281047737817176e-07-2.1654868111737195e-07j)	-88.6032028	-88.589653	1	1
